County/Year,Watercraft,Other/Human,Perinatal,Cold Stress,Natural,Total,Not Necropsied,Flood Gate/Canal Lock,Unrecovered/Undetermined
Lee1984,1.0,0.0,6.0,2.0,0.0,19.0,0.0,0.0,10.0
Levy1984,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0
Manatee1984,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Martin1984,1.0,1.0,2.0,1.0,0.0,9.0,0.0,1.0,3.0
Miami-Dade1984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Monroe1984,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Nassau1984,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
Palm Beach1984,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0
Pasco1984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Sarasota1984,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
St. Johns1984,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
St. Lucie1984,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Volusia1984,2.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0
TOTAL:1984,34.0,1.0,25.0,20.0,4.0,128.0,0.0,3.0,41.0
Brevard1985,8.0,0.0,7.0,5.0,3.0,32.0,0.0,0.0,9.0
Broward1985,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
Charlotte1985,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Citrus1985,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
Collier1985,1.0,0.0,3.0,1.0,1.0,13.0,0.0,0.0,7.0
DeSoto1985,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Duval1985,4.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,3.0
Glades1985,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Hernando1985,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Hillsborough1985,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0
Indian River1985,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Lee1985,5.0,0.0,4.0,1.0,2.0,16.0,0.0,0.0,4.0
Martin1985,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Miami-Dade1985,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0
Monroe1985,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0
Nassau1985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Okeechobee1985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Palm Beach1985,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Pinellas1985,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Putnam1985,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Sarasota1985,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
St. Johns1985,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
St. Lucie1985,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Volusia1985,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
TOTAL:1985,34.0,2.0,23.0,9.0,10.0,119.0,0.0,3.0,38.0
Bay1986,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Brevard1986,4.0,0.0,5.0,2.0,0.0,15.0,0.0,0.0,4.0
Broward1986,2.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0
Charlotte1986,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
Citrus1986,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
Collier1986,9.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0
Duval1986,2.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,9.0
Glades1986,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Hillsborough1986,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0
Indian River1986,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lake1986,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1986,3.0,0.0,2.0,1.0,0.0,15.0,0.0,0.0,9.0
Levy1986,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
Manatee1986,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Martin1986,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
Miami-Dade1986,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Monroe1986,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,5.0
Nassau1986,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Okeechobee1986,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Palm Beach1986,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,3.0
Pinellas1986,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Putnam1986,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Sarasota1986,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
St. Lucie1986,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0
Volusia1986,2.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,1.0
TOTAL:1986,33.0,1.0,27.0,12.0,1.0,122.0,0.0,3.0,45.0
Brevard1987,6.0,1.0,8.0,0.0,5.0,23.0,0.0,0.0,3.0
Broward1987,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
Charlotte1987,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Citrus1987,0.0,0.0,4.0,0.0,1.0,6.0,0.0,0.0,1.0
Clay1987,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
Collier1987,6.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0
Duval1987,5.0,0.0,2.0,3.0,1.0,12.0,0.0,0.0,1.0
Flagler1987,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Glades1987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Hillsborough1987,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Indian River1987,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1987,3.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,4.0
Manatee1987,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Martin1987,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Miami-Dade1987,4.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0
Monroe1987,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Palm Beach1987,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
Pinellas1987,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Putnam1987,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
Sarasota1987,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
St. Lucie1987,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Volusia1987,3.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,3.0
TOTAL:1987,39.0,2.0,30.0,6.0,10.0,113.0,0.0,5.0,21.0
Bay1988,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brevard1988,8.0,1.0,5.0,3.0,2.0,20.0,0.0,0.0,1.0
Broward1988,2.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0
Charlotte1988,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Citrus1988,2.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0
Clay1988,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Collier1988,4.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,6.0
Duval1988,4.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0
Glades1988,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
Hillsborough1988,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
Indian River1988,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Lake1988,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1988,8.0,0.0,5.0,1.0,1.0,19.0,0.0,0.0,4.0
Levy1988,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Manatee1988,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
Martin1988,4.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0
Miami-Dade1988,1.0,0.0,0.0,0.0,1.0,9.0,0.0,6.0,1.0
Monroe1988,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
Nassau1988,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Palm Beach1988,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
Pinellas1988,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Sarasota1988,2.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,3.0
St. Johns1988,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0
St. Lucie1988,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Volusia1988,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0
TOTAL:1988,43.0,4.0,30.0,9.0,15.0,134.0,0.0,7.0,26.0
Brevard1989,10.0,0.0,10.0,4.0,7.0,37.0,0.0,1.0,5.0
Broward1989,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
Charlotte1989,2.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,6.0
Citrus1989,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0
